time,open,high,low,close,volume
2022-07-14 14:45:00,148.47,148.845,148.325,148.4701,2592652
2022-07-14 14:30:00,147.94,148.56,147.855,148.465,2690894
2022-07-14 14:15:00,147.55,148.08,147.48,147.94,2542726
2022-07-14 14:00:00,147.51,147.66,147.16,147.545,1837759
2022-07-14 13:45:00,147.415,147.55,147.051,147.505,2261546
2022-07-14 13:30:00,146.605,147.5,146.45,147.41,2528867
2022-07-14 13:15:00,146.6301,146.76,146.32,146.6,1380698
2022-07-14 13:00:00,146.7,146.8,146.1001,146.6273,1972337
2022-07-14 12:45:00,146.499,146.75,146.44,146.7,1363346
2022-07-14 12:30:00,146.94,147.2,146.42,146.5,1944408
2022-07-14 12:15:00,147.155,147.32,146.6632,146.945,2187471
2022-07-14 12:00:00,146.61,147.17,146.47,147.1509,3575973
2022-07-14 11:45:00,146.03,146.86,145.7101,146.62,3211291
2022-07-14 11:30:00,145.23,146.07,145.08,146.03,2913513
2022-07-14 11:15:00,144.82,145.78,144.79,145.249,2857189
2022-07-14 11:00:00,144.42,145.08,144.32,144.822,2640329
2022-07-14 10:45:00,144.37,144.83,143.9101,144.4365,2647316
2022-07-14 10:30:00,144.2,144.61,143.87,144.37,2427689
2022-07-14 10:15:00,144.0836,144.39,143.6101,144.1988,3739035
2022-07-14 10:00:00,143.735,144.7699,143.72,144.08,3495970
2022-07-14 09:45:00,144.08,144.5736,143.25,143.7301,5546063
2022-07-14 09:30:00,144.05,144.23,144.02,144.09,101332
2022-07-14 09:15:00,144.29,144.59,144.0,144.06,115989
2022-07-14 09:00:00,144.35,144.45,144.1,144.33,117236
2022-07-14 08:45:00,144.25,144.77,143.9,144.38,167925
2022-07-14 08:30:00,144.03,144.25,144.01,144.2299,46072
2022-07-14 08:15:00,144.2,145.68,143.84,144.06,305268
2022-07-14 08:00:00,144.05,144.18,144.04,144.12,25511
2022-07-14 07:45:00,143.95,144.19,143.89,144.04,43290
2022-07-14 07:30:00,144.1,144.22,143.9,143.95,30243
2022-07-14 07:15:00,144.36,144.37,143.91,144.14,28379
2022-07-14 07:00:00,144.25,144.43,143.91,144.39,9782
2022-07-14 06:45:00,144.24,144.43,144.17,144.29,7086
2022-07-14 06:30:00,144.19,144.25,144.19,144.25,791
2022-07-14 06:15:00,144.25,144.36,144.25,144.36,930
2022-07-14 06:00:00,144.14,144.37,144.14,144.34,4500
2022-07-14 05:45:00,144.13,144.13,143.94,144.13,5025
2022-07-14 05:30:00,144.14,144.2,143.9,144.01,4599
2022-07-14 05:15:00,144.13,144.25,144.13,144.14,5984
2022-07-14 05:00:00,143.68,144.19,143.68,144.17,11662
2022-07-14 04:45:00,144.46,144.59,143.77,143.8,20729
2022-07-14 04:30:00,144.97,144.97,144.36,144.51,16548
2022-07-14 04:15:00,144.49,144.97,144.49,144.97,13887
2022-07-13 20:00:00,144.51,144.52,144.35,144.35,18328
2022-07-13 19:45:00,144.71,144.72,144.3,144.51,20163
2022-07-13 19:30:00,144.7,144.86,144.68,144.71,8015
2022-07-13 19:15:00,144.83,144.93,144.7,144.71,7532
2022-07-13 19:00:00,144.73,144.88,144.66,144.88,7897
2022-07-13 18:45:00,145.06,145.06,144.63,144.79,16621
2022-07-13 18:30:00,145.01,145.07,145.01,145.05,3022
2022-07-13 18:15:00,145.17,145.17,144.91,145.01,19991
2022-07-13 18:00:00,145.1868,145.2,145.13,145.2,9897
2022-07-13 17:45:00,145.22,145.22,145.18,145.18,10722
2022-07-13 17:30:00,145.19,145.22,145.18,145.22,4306
2022-07-13 17:15:00,145.1621,145.22,145.1471,145.18,8752
2022-07-13 17:00:00,145.1699,145.19,145.03,145.1701,28671
2022-07-13 16:45:00,145.21,145.49,145.13,145.15,14329
2022-07-13 16:30:00,145.3,145.49,145.15,145.18,144716
2022-07-13 16:15:00,145.52,145.69,145.24,145.25,1731557
2022-07-13 16:00:00,145.65,145.96,145.4,145.45,4807200
2022-07-13 15:45:00,145.91,146.03,145.59,145.655,1760855
2022-07-13 15:30:00,146.195,146.3,145.881,145.93,1707054
2022-07-13 15:15:00,146.4,146.42,145.7818,146.2089,1499511
2022-07-13 15:00:00,146.1451,146.42,145.7501,146.3901,1411452
2022-07-13 14:45:00,146.03,146.375,146.0,146.14,1464991
2022-07-13 14:30:00,145.625,146.08,145.3791,146.0301,1404268
2022-07-13 14:15:00,146.1483,146.1483,145.2,145.63,1684216
2022-07-13 14:00:00,145.865,146.21,145.81,146.141,1054461
2022-07-13 13:45:00,145.79,145.9399,145.42,145.87,1257174
2022-07-13 13:30:00,146.405,146.405,145.6,145.78,1463422
2022-07-13 13:15:00,146.0,146.45,145.75,146.4,1812773
2022-07-13 13:00:00,145.73,146.0125,145.56,145.995,1222692
2022-07-13 12:45:00,145.77,146.02,145.66,145.74,1296748
2022-07-13 12:30:00,145.25,145.82,145.2,145.76,1600585
2022-07-13 12:15:00,145.22,145.7833,145.15,145.26,1503052
2022-07-13 12:00:00,144.97,145.53,144.79,145.22,2739943
2022-07-13 11:45:00,145.32,145.515,144.98,145.065,1500904
2022-07-13 11:30:00,145.92,145.98,145.23,145.32,1555892
2022-07-13 11:15:00,145.63,146.11,145.32,145.93,2194849
2022-07-13 11:00:00,146.2,146.42,145.55,145.63,2900132
2022-07-13 10:45:00,144.46,146.21,144.24,146.21,3562244
2022-07-13 10:30:00,144.73,144.79,143.86,144.4699,2882775
2022-07-13 10:15:00,145.04,145.16,142.92,144.71,3847710
2022-07-13 10:00:00,143.96,145.32,143.695,145.04,4413340
2022-07-13 09:45:00,142.99,144.99,142.1201,143.95,8378882
2022-07-13 09:30:00,143.46,143.5,142.9,142.95,251280
2022-07-13 09:15:00,143.4,143.8005,143.16,143.35,331597
2022-07-13 09:00:00,142.85,143.55,142.37,143.45,367841
2022-07-13 08:45:00,147.8,147.8,142.5,142.82,773477
2022-07-13 08:30:00,146.69,147.8,146.66,147.8,143010
2022-07-13 08:15:00,146.4,146.84,145.496,146.67,137955
2022-07-13 08:00:00,146.45,146.59,146.39,146.5,19857
2022-07-13 07:45:00,146.32,146.44,146.2,146.44,16757
2022-07-13 07:30:00,146.4,146.4,146.18,146.31,18767
2022-07-13 07:15:00,146.09,146.4,146.02,146.4,15649
2022-07-13 07:00:00,146.04,146.2,146.02,146.02,1762
2022-07-13 06:45:00,146.09,146.1,146.02,146.04,3527
2022-07-13 06:30:00,146.23,146.24,146.09,146.09,2267
2022-07-13 06:15:00,146.13,146.14,146.06,146.06,2265
2022-07-13 06:00:00,146.19,146.19,146.19,146.19,209
2022-07-13 05:45:00,146.32,146.32,146.3,146.3,826
2022-07-13 05:30:00,146.31,146.33,146.25,146.33,3412
2022-07-13 05:15:00,146.3,146.35,146.24,146.27,6528
2022-07-13 05:00:00,146.3,146.42,146.3,146.3,2196
2022-07-13 04:45:00,146.31,146.44,146.31,146.44,767
2022-07-13 04:30:00,146.06,146.3,146.06,146.2,3450
2022-07-13 04:15:00,146.09,146.37,145.98,146.0,6469
2022-07-12 20:00:00,145.85,145.85,145.62,145.8,12663
2022-07-12 19:45:00,145.75,145.85,145.73,145.8,15229
2022-07-12 19:30:00,145.79,145.81,145.75,145.75,8670
2022-07-12 19:15:00,145.78,145.8,145.78,145.8,4597
2022-07-12 19:00:00,145.83,145.83,145.77,145.79,7657
2022-07-12 18:45:00,145.8,145.84,145.78,145.82,6173
2022-07-12 18:30:00,145.82,145.82,145.72,145.75,6909
2022-07-12 18:15:00,145.75,145.85,145.74,145.8,30919
2022-07-12 18:00:00,145.7706,145.79,145.7,145.72,9833
2022-07-12 17:45:00,145.76,145.8,145.75,145.76,5572
2022-07-12 17:30:00,145.82,145.86,145.71,145.76,16989
2022-07-12 17:15:00,145.82,145.86,145.7999,145.8001,5563
2022-07-12 17:00:00,145.78,145.88,145.78,145.85,9360
2022-07-12 16:45:00,145.77,145.9,145.7165,145.76,58837
2022-07-12 16:30:00,145.87,145.88,145.77,145.79,37831
2022-07-12 16:15:00,145.88,146.0,145.7,145.85,1422600
2022-07-12 16:00:00,145.445,146.21,145.39,145.86,6984231
2022-07-12 15:45:00,145.76,145.77,145.05,145.4401,3147536
2022-07-12 15:30:00,146.005,146.06,145.52,145.76,2495017
2022-07-12 15:15:00,146.765,146.77,145.78,145.99,2672458
2022-07-12 15:00:00,147.2355,147.29,146.72,146.77,1576494
2022-07-12 14:45:00,147.515,147.59,147.11,147.24,1571441
2022-07-12 14:30:00,147.82,147.94,147.45,147.51,1329901
2022-07-12 14:15:00,148.15,148.22,147.67,147.82,2543327
2022-07-12 14:00:00,147.87,148.18,147.71,148.15,1256731
2022-07-12 13:45:00,147.56,148.0033,147.52,147.87,1484684
2022-07-12 13:30:00,147.68,147.715,147.3576,147.555,1331991
2022-07-12 13:15:00,148.04,148.34,147.49,147.655,1836243
2022-07-12 13:00:00,148.06,148.45,147.88,148.0432,1729177
2022-07-12 12:45:00,147.75,148.2,147.61,148.05,1590155
2022-07-12 12:30:00,147.76,148.08,147.63,147.75,1699763
2022-07-12 12:15:00,147.8,147.97,147.33,147.75,1636386
2022-07-12 12:00:00,147.54,147.81,147.362,147.8001,1490201
2022-07-12 11:45:00,148.06,148.175,147.45,147.54,1856960
2022-07-12 11:30:00,147.7987,148.13,147.41,148.0568,2320416
2022-07-12 11:15:00,146.99,147.99,146.8406,147.7999,2732087
2022-07-12 11:00:00,146.87,147.2,146.5,146.985,2196361
2022-07-12 10:45:00,146.8,147.66,146.7101,146.86,3324221
2022-07-12 10:30:00,146.34,146.9399,146.01,146.79,3478265
2022-07-12 10:15:00,146.18,146.35,145.5601,146.334,4003181
2022-07-12 10:00:00,147.47,147.5,145.79,146.17,4768220
2022-07-12 09:45:00,145.76,147.99,145.74,147.485,7481536
2022-07-12 09:30:00,145.5,145.9,145.43,145.82,140071
2022-07-12 09:15:00,145.32,145.58,145.11,145.5,179960
2022-07-12 09:00:00,145.52,145.56,145.3,145.33,97855
2022-07-12 08:45:00,145.18,145.54,145.09,145.5399,93937
2022-07-12 08:30:00,144.96,145.23,144.83,145.1693,53323
2022-07-12 08:15:00,144.61,145.2399,143.52,144.9201,80413
2022-07-12 08:00:00,145.07,145.09,144.9,144.95,25699
2022-07-12 07:45:00,144.87,145.59,144.87,145.14,28283
2022-07-12 07:30:00,144.56,144.96,144.52,144.8,18654
2022-07-12 07:15:00,144.45,144.55,144.34,144.55,23441
2022-07-12 07:00:00,144.48,144.7,144.41,144.44,30079
2022-07-12 06:45:00,144.45,144.5,144.36,144.5,29334
2022-07-12 06:30:00,144.47,144.5,144.29,144.29,3325
2022-07-12 06:15:00,144.03,144.66,144.03,144.41,24207
2022-07-12 06:00:00,143.96,144.0,143.88,144.0,2055
2022-07-12 05:45:00,143.96,144.1,143.96,144.1,1562
2022-07-12 05:30:00,144.15,144.15,144.0,144.0,4952
2022-07-12 05:15:00,144.01,144.15,143.96,144.1,4928
2022-07-12 05:00:00,144.05,144.06,143.89,144.06,6237
2022-07-12 04:45:00,143.92,144.2,143.92,144.06,4311
2022-07-12 04:30:00,143.73,143.9,143.66,143.9,2641
2022-07-12 04:15:00,143.98,144.07,143.42,143.7,16653
2022-07-11 20:00:00,145.04,145.11,145.0,145.11,9480
2022-07-11 19:45:00,144.9,145.04,144.89,145.04,9119
2022-07-11 19:30:00,144.75,144.97,144.75,144.97,3114
2022-07-11 19:15:00,144.71,144.92,144.71,144.91,5176
2022-07-11 19:00:00,144.9,144.92,144.71,144.77,10142
2022-07-11 18:45:00,144.98,144.98,144.85,144.85,20552
2022-07-11 18:30:00,144.95,145.0,144.87,144.94,102164
2022-07-11 18:15:00,145.0,145.0,144.91,144.91,4063
2022-07-11 18:00:00,144.95,144.9866,144.87,144.9866,7863
2022-07-11 17:45:00,144.9603,145.0,144.95,144.96,2083
2022-07-11 17:30:00,144.96,145.0,144.92,144.96,2726
2022-07-11 17:15:00,145.0,145.0,144.93,144.93,8309
2022-07-11 17:00:00,145.07,145.15,145.0,145.0,22718
2022-07-11 16:45:00,145.05,145.08,145.02,145.05,2747287
2022-07-11 16:30:00,145.03,145.05,144.87,145.04,254710
2022-07-11 16:15:00,144.87,145.05,144.74,145.0,1342534
2022-07-11 16:00:00,144.76,144.96,144.4,144.905,4828213
2022-07-11 15:45:00,145.01,145.125,144.75,144.76,2177299
2022-07-11 15:30:00,144.97,145.08,144.8,145.0,1966674
2022-07-11 15:15:00,145.32,145.46,144.87,144.9799,2098399
2022-07-11 15:00:00,145.9299,145.96,145.32,145.32,1501789
2022-07-11 14:45:00,145.805,145.93,145.62,145.92,1332740
2022-07-11 14:30:00,146.06,146.135,145.79,145.8042,1105071
2022-07-11 14:15:00,146.4179,146.465,145.995,146.06,1463177
2022-07-11 14:00:00,146.42,146.64,146.3,146.415,1150961
2022-07-11 13:45:00,146.1012,146.56,146.1,146.415,1451410
2022-07-11 13:30:00,145.9321,146.23,145.85,146.105,1534458
2022-07-11 13:15:00,145.48,146.09,145.44,145.9303,2608506
2022-07-11 13:00:00,145.4837,145.54,145.26,145.485,979351
2022-07-11 12:45:00,145.38,145.64,145.285,145.4897,1057413
2022-07-11 12:30:00,145.39,145.49,145.13,145.3707,1121842
2022-07-11 12:15:00,145.15,145.46,145.0,145.3902,1072393
2022-07-11 12:00:00,145.32,145.33,144.93,145.15,1248255
2022-07-11 11:45:00,145.4,145.49,145.03,145.305,1411031
2022-07-11 11:30:00,145.46,145.66,145.2601,145.39,1726821
2022-07-11 11:15:00,145.06,145.65,144.91,145.465,1944554
2022-07-11 11:00:00,145.53,145.62,145.04,145.065,1850797
2022-07-11 10:45:00,144.98,145.625,144.9309,145.52,2316431
2022-07-11 10:30:00,144.33,145.03,144.28,144.99,2459848
2022-07-11 10:15:00,144.3111,145.73,144.04,144.34,3111170
2022-07-11 10:00:00,144.56,144.57,143.78,144.32,3463959
